composer,time_signature,melDiffMean,melDiffVar,noteMeasure,duMean,duVar
bach,4.0,0.00927835051546,12.0236252524,12,1.02207392197,0.505801242996
bach,4.0,-0.023498694517,9.60693258072,13,0.923243712056,0.512511551186
bach,4.0,-0.0455357142857,9.98453364158,15,0.802491103203,0.325647708996
bach,4.0,0.00466079751424,10.4945406799,14,0.959431524548,0.449646188464
bach,4.0,-0.00828937452901,8.67890641815,14,0.978260869565,0.541881233296
bach,4.0,-0.00173510699826,8.27819247813,21,0.608491926182,0.353020087305
bach,4.0,-0.0437017994859,9.08549375169,25,0.553491351698,0.34080859842
bach,4.0,-0.014192139738,12.3400460359,14,0.735914213013,0.21981249573
bach,4.0,-0.00856653340948,9.66811622044,13,0.863247863248,0.590486887282
bach,4.0,0.0105146651909,10.0878805874,15,0.842076200994,0.319068908605
bach,4.0,0.00287081339713,9.41338888762,17,0.799617712647,0.179290498435
bach,6.0,0.000479846449136,7.59261013443,37,1.02963671128,0.780909428251
bach,4.0,0.00042662116041,11.7214162002,32,0.607234042553,0.272277455862
bach,4.0,-0.0103305785124,9.61628446372,14,0.856456043956,0.329898795687
bach,4.0,0.00357142857143,17.6249872449,12,0.590584878745,0.198106790584
bach,2.25,-0.0289634146341,14.726295267,12,0.317541856925,0.0427649620988
bach,4.0,-0.0200553250346,12.6489753773,17,0.43485267035,0.175829394347
bach,4.0,-0.00706357214934,10.3803739203,12,0.573514602216,0.121819503899
bach,2.0,-0.00185414091471,16.3232351283,22,0.306993222428,0.0570503451995
bach,2.0,0.0123311802701,15.3991433031,23,0.295596563171,0.0548881798801
bach,4.0,0.00530785562633,8.53889610126,11,1.10759717314,0.79681507448
beethoven,3.0,-0.00306591722024,15.5053559553,12,0.703005359877,0.448487809313
beethoven,4.5,-0.00244242847174,16.0589612362,26,0.513461817654,0.203774378791
beethoven,3.0,-0.00982800982801,32.6960541064,8,1.12897959184,0.549894877135
beethoven,2.0,0.00405904059041,18.3154816792,14,0.422566371681,0.0807865430383
beethoven,4.0,-0.00260484501172,16.1298881527,11,0.809076903047,0.626737541309
beethoven,4.0,0.00288559992553,19.9423727587,13,0.682260165628,0.282379965005
beethoven,3.0,0.00213405761956,21.6046127705,13,0.737487475355,0.418362202147
handel,4.0,-0.00488145048815,20.1289859343,14,0.960361613352,0.363432275355
handel,4.0,0.0212514757969,11.9145424716,23,0.605633802817,0.1226076382
handel,4.0,-0.0234716157205,14.7074185156,21,0.605606967882,0.109968561911
handel,3.0,0.0123031496063,14.3674667427,14,1.10759803922,0.331437367839
