noteCount0,noteCount1,noteCount2,noteCount3,noteCount4,noteCount5,noteCount6,noteCount7,noteCount8,noteCount9,noteCount10,noteCount11,noteCountFreq0,noteCountFreq1,noteCountFreq2,noteCountFreq3,noteCountFreq4,noteCountFreq5,noteCountFreq6,noteCountFreq7,noteCountFreq8,noteCountFreq9,noteCountFreq10,noteCountFreq11,octave0,octave1,octave2,octave3,octave4,octave5,octave6,octave7,octaveFreq0,octaveFreq1,octaveFreq2,octaveFreq3,octaveFreq4,octaveFreq5,octaveFreq6,octaveFreq7,composer
111,0,40,0,33,121,0,60,0,88,38,7,0.222891566265,0,0.0803212851406,0,0.066265060241,0.24297188755,0,0.120481927711,0,0.176706827309,0.0763052208835,0.0140562248996,0,0,11,139,293,55,0,0,0,0,0.0220883534137,0.279116465863,0.588353413655,0.110441767068,0,0,bach
20,0,24,9,6,25,3,17,0,16,31,0,0.132450331126,0,0.158940397351,0.0596026490066,0.0397350993377,0.165562913907,0.0198675496689,0.112582781457,0,0.105960264901,0.205298013245,0,0,0,3,50,83,15,0,0,0,0,0.0198675496689,0.331125827815,0.549668874172,0.0993377483444,0,0,bach
1515,960,1823,362,2533,1253,835,1374,801,2416,396,1559,0.0957224995261,0.0606558412839,0.115182915271,0.0228723068175,0.160042964554,0.0791685095091,0.0527579452834,0.0868136728376,0.0506097175712,0.152650533898,0.0250205345296,0.0985025589183,0,1,1315,3854,5068,4233,1355,1,0,6.3183168004e-05,0.0830858659253,0.243507929488,0.320212295444,0.267454350161,0.0856131926455,6.3183168004e-05,beethoven
1100,527,805,996,318,1328,457,922,686,627,1301,404,0.116144018583,0.0556435434484,0.0849963045085,0.105163129553,0.0335761799176,0.140217506071,0.0482525604477,0.0973498046669,0.0724316334072,0.0662020905923,0.137366698342,0.0426565304614,0,0,677,1912,3331,2705,846,0,0,0,0.0714813641643,0.201879421392,0.351705205364,0.285608700243,0.0893253088375,0,beethoven
758,846,1537,495,1177,792,1041,1127,423,1675,772,878,0.0657928999219,0.0734311257703,0.133408558285,0.0429650203975,0.102161270723,0.0687440326361,0.0903567398663,0.0978213696728,0.0367155628852,0.145386685184,0.067008072216,0.0762086624425,0,0,1031,2552,4149,3048,740,1,0,0,0.0894887596563,0.221508549605,0.36012498915,0.264560368024,0.0642305355438,8.67980210051e-05,beethoven
1911,278,1197,795,643,1042,300,1990,633,540,650,768,0.177817065228,0.0258676840048,0.111379919978,0.073974132316,0.0598306504141,0.0969572904066,0.0279147669117,0.185167953848,0.0589001581837,0.0502465804411,0.0604819949753,0.0714618032939,0,0,741,2841,4046,2660,453,6,0,0,0.0689494742719,0.264352842654,0.376477156416,0.247510933284,0.0421512980367,0.000558295338234,beethoven
276,1102,1236,279,1813,217,949,553,685,1828,127,1248,0.0267623387957,0.106855425192,0.119848734607,0.0270532337826,0.175797537089,0.0210414040531,0.0920197808591,0.053621642587,0.0664210220111,0.177252012024,0.0123145544458,0.121012314554,0,0,768,2349,3691,2873,631,1,0,0,0.0744691166489,0.22777077475,0.357897798895,0.278580432464,0.0611849122467,9.69649956366e-05,beethoven
81,11,77,184,6,115,0,104,95,24,181,0,0.0922551252847,0.0125284738041,0.0876993166287,0.209567198178,0.00683371298405,0.130979498861,0,0.118451025057,0.108200455581,0.0273348519362,0.206150341686,0,0,0,52,221,390,199,16,0,0,0,0.0592255125285,0.251708428246,0.444191343964,0.226651480638,0.0182232346241,0,haydn
57,8,59,98,10,77,6,71,55,16,109,10,0.0989583333333,0.0138888888889,0.102430555556,0.170138888889,0.0173611111111,0.133680555556,0.0104166666667,0.123263888889,0.0954861111111,0.0277777777778,0.189236111111,0.0173611111111,0,0,43,151,310,72,0,0,0,0,0.0746527777778,0.262152777778,0.538194444444,0.125,0,0,haydn
137,1,136,80,27,206,2,83,17,114,216,1,0.13431372549,0.000980392156863,0.133333333333,0.078431372549,0.0264705882353,0.201960784314,0.00196078431373,0.0813725490196,0.0166666666667,0.111764705882,0.211764705882,0.000980392156863,0,0,54,215,513,218,20,0,0,0,0.0529411764706,0.210784313725,0.502941176471,0.213725490196,0.0196078431373,0,haydn
44,1,47,106,0,60,12,61,70,11,155,1,0.0774647887324,0.00176056338028,0.0827464788732,0.18661971831,0,0.105633802817,0.0211267605634,0.107394366197,0.12323943662,0.0193661971831,0.272887323944,0.00176056338028,0,0,65,83,267,140,13,0,0,0,0.114436619718,0.146126760563,0.470070422535,0.246478873239,0.0228873239437,0,haydn
61,5,88,167,1,107,0,106,78,18,218,0,0.0718492343934,0.00588928150766,0.103651354535,0.196702002356,0.00117785630153,0.126030624264,0,0.124852767962,0.0918727915194,0.0212014134276,0.256772673734,0,0,0,73,193,374,202,7,0,0,0,0.0859835100118,0.227326266196,0.440518256773,0.237926972909,0.00824499411072,0,haydn
18,233,472,12,343,25,337,223,65,385,29,288,0.00740740740741,0.0958847736626,0.194238683128,0.00493827160494,0.141152263374,0.0102880658436,0.138683127572,0.0917695473251,0.0267489711934,0.158436213992,0.0119341563786,0.118518518519,0,0,93,562,1000,715,60,0,0,0,0.0382716049383,0.231275720165,0.411522633745,0.294238683128,0.0246913580247,0,mozart
18,103,113,29,171,20,76,0,89,154,7,140,0.0195652173913,0.111956521739,0.122826086957,0.0315217391304,0.185869565217,0.0217391304348,0.0826086956522,0,0.0967391304348,0.167391304348,0.00760869565217,0.152173913043,0,0,54,258,317,274,17,0,0,0,0.0586956521739,0.280434782609,0.344565217391,0.297826086957,0.0184782608696,0,mozart
5,120,227,0,169,18,109,118,17,226,23,84,0.00448028673835,0.10752688172,0.203405017921,0,0.151433691756,0.0161290322581,0.0976702508961,0.105734767025,0.0152329749104,0.202508960573,0.0206093189964,0.0752688172043,0,0,34,319,522,235,6,0,0,0,0.0304659498208,0.285842293907,0.467741935484,0.210573476703,0.00537634408602,0,mozart
112,41,286,12,122,5,150,217,4,218,8,180,0.0826568265683,0.030258302583,0.211070110701,0.00885608856089,0.090036900369,0.00369003690037,0.110701107011,0.160147601476,0.0029520295203,0.160885608856,0.00590405904059,0.132841328413,0,0,35,307,640,363,10,0,0,0,0.0258302583026,0.226568265683,0.472324723247,0.267896678967,0.00738007380074,0,mozart
